Roll_Number,Student_Name,Gender,English,Kannada,Hindi,Maths,Science,Social
1410, Deeksha Jiwani, F,99,97,98,53,72,78
1411, Bernadtette Rostenkowski, F,72,70,72,85,95,72
1412, G Chitra Shenai, F,90,82,64,66,75,78
1413, Subhashish Bhattacharjee, M,92,62,64,93,84,90
1414, Neha S. Swaminathan, F,82,80,84,59,57,62
1415, Sunita rani kumari, F,64,67,96,96,86,83
1416, Rakesh Kashyap, M,59,55,63,78,85,50
1417, Subhash.K.U, M,81,70,62,71,67,82
1418, Sunil Kumar .K., M,73,66,56,52,50,89
1419, vijay kumar t r, M,72,69,67,57,92,68
1420, Aby Abraham K, M,80,92,87,53,55,80
1421, Kishan, M,68,76,82,51,51,64
1422, Anuj Malhotra, M,66,88,50,96,65,65
1423, Gayathri K P, F,58,57,92,52,77,79
1424, Neha Mehta, M,78,88,82,78,75,56
1425, Annand Mukund Rao, M,62,51,51,97,77,52
1426, Paul George, M,58,89,52,85,74,88
1427, Swapna.S.P, F,87,70,83,75,61,70
1428, Neha Jagga, F,99,70,82,97,100,78
1429, Priya Ram, F,71,91,78,77,89,56
1430, Kumara Krupa Parvath, M,55,72,72,81,95,96
1431, A.B.C Sita, F,81,93,78,71,95,51
1432, Pratap kumar, M,80,54,67,54,90,59
1433, Anirudh Mahato, M,90,98,54,84,95,98
1434, vijayakanth T.S.V, M,100,80,82,90,70,98
1435, lalitha kumari, F,90,79,81,71,55,72
1436, Hari Krishna, M,71,83,69,75,88,99
1437, Tushar Gupta, M,89,61,99,66,98,88
1438, Sridhar, M,63,58,100,63,81,73
1439, Ashok Kumar, M,56,80,63,55,54,50
1440, Krishna Hari, M,96,82,61,88,78,98
1441, Suhasini.M, F,83,86,87,57,91,78
1442, Pallavi Singh, F,79,77,88,88,61,65
1443, S. Devi, F,60,56,53,79,85,98
1444, Ravi kishan, M,56,83,71,87,82,71
1445, Akansha Y, F,66,89,61,88,89,86
1446, Anu Paul, F,67,96,66,54,57,65
1447, Indranil Sarkar, M,57,50,92,50,67,90
1448, Khasim, M,71,65,100,81,52,69
1449, Srinivasan M.  Ramaswamy Venugopal Aiyer, M,56,84,63,80,100,77
1450, Ankit Saxena, F,92,68,62,63,98,56
1451, Ravichandra S, M,71,63,58,73,87,66
1452, Ashok Singh, M,68,71,100,99,58,90
1453, Anand, M,59,70,71,78,91,73
1454, Hari Krishnan, M,54,94,82,88,69,74
1455, Navneet Dubey, M,86,75,62,86,76,83
1456, lakshmi gopal, M,64,73,96,58,64,70
1457, Aiswarya Mohan, F,66,53,67,69,55,57
1458, Dean Winchester, M,80,57,65,100,77,59
1459, kumar, M,57,81,72,67,81,74
1460, Siva Kumar, M,74,57,55,55,78,98
1501, Swapna.S.P, F,77,51,79,61,80,57
1502, Shanaya Gurumurthi S, F,78,89,91,85,74,99
1503, M.K Sharma, M,72,50,81,66,52,96
1504, Pratap kumar, M,58,63,83,92,54,69
1505, Anirudh Mahato, M,56,52,55,62,86,75
1506, Aiswarya Mohan, F,75,78,66,86,97,63
1507, Akansha Y, F,65,78,66,67,77,62
1508, Sunita rani kumari, F,51,58,91,100,81,51
1509, Anuj Malhotra, M,56,52,98,73,99,60
1510, Sam Manny, M,87,65,60,65,69,91
1511, Anand, M,68,61,59,59,95,87
1512, Pallavi Singh, F,90,51,96,95,87,67
1513, Aby Abraham K, M,73,69,77,51,93,89
1514, S N Prathap Kumar, M,94,82,74,84,66,57
1515, Kumara Krupa Parvath, M,60,88,58,64,90,71
1516, Ravichandra S, M,51,90,96,59,57,56
1517, Bob Joe, M,80,89,84,75,99,62
1518, Kishan, M,71,51,56,84,54,96
1519, Ravi Kiran, M,55,71,97,65,77,55
1520, Priyanka Y, F,71,68,60,97,85,90
1521, Ashok Kumar, M,84,89,64,59,67,90
1522, Subhashish Bhattacharjee, M,52,88,55,78,85,59
1523, Gayathri K P, F,99,70,59,94,61,91
1524, S. Devi, F,53,93,50,79,54,88
1525, Navneet Dubey, M,75,66,96,51,52,73
1526, Anu Paul, F,99,91,69,65,85,77
1527, Paul George, M,71,81,58,58,84,67
1528, Priya Ram, F,90,92,66,51,97,96
1529, Indranil Sarkar, M,93,98,94,52,68,53
1530, Manohar Sharma, M,57,84,69,79,95,89
1531, Neha Jagga, F,76,89,92,80,88,69
1532, Bernadtette Rostenkowski, F,65,79,92,53,74,57
1533, Hari Krishnan, M,61,59,79,99,65,98
1534, D.P. Ravi Kiran, M,88,76,83,60,57,91
1535, gopalkumari k s, F,61,82,96,91,78,51
1536, A.B.C Sita, F,68,94,70,98,76,54
1537, Prabhanjan, M,54,60,96,60,67,52
1538, Subhash.K.U, M,87,96,79,70,50,97
1539, G Chitra Shenai, F,91,79,61,95,70,79
1540, vijayakanth T.S.V, M,62,57,69,96,96,82
1541, kumar, M,82,90,69,83,95,83
1542, vijay kumar t r, M,87,69,61,79,87,96
1543, Prathiban, M,58,69,63,58,90,85
1544, Hari Krishna, M,74,76,69,64,57,75
1545, Sunil Kumar .K., M,92,74,93,69,92,68
1546, S.P.Swaroop, M,92,92,83,65,84,66
1547, Sachin Sharma, M,54,60,70,77,54,61
1548, Dean Winchester, M,75,96,92,73,71,54
1549, Neha S. Swaminathan, F,59,54,57,67,62,52
1550, Tushar Gupta, M,98,85,51,61,79,75
1551, Deeksha Jiwani, F,68,84,76,64,69,66
1552, Ashok Singh, M,59,56,57,68,90,73
1553, Anthony Kumar, M,78,83,69,82,55,85
1554, F A Khan, M,87,64,65,94,83,52
1555, lakshmi gopal, M,62,73,82,96,60,82
1556, Khasim, M,68,80,60,73,64,98
1557, Neha Mehta, M,85,95,51,78,66,52
1558, Ravi kishan, M,100,53,61,95,81,51
1559, Siva Kumar, M,86,68,98,82,64,65
1560, Sridhar, M,76,100,85,74,50,56
1601, kumar, M,65,56,69,55,63,93
1602, Aiswarya Mohan, F,84,63,51,64,81,92
1603, Bernadtette Rostenkowski, F,68,91,57,57,86,89
1604, Gayathri K P, F,89,76,93,67,66,99
1605, Kumara Krupa Parvath, M,78,88,64,65,69,68
1606, Rakesh Kashyap, M,62,75,88,63,97,73
1607, Anand, M,90,93,68,82,99,70
1608, Ravichandra S, M,96,50,85,59,81,99
1609, Ankit Saxena, F,93,90,74,85,95,80
1610, Priyanka Y, F,92,82,66,66,59,88
1611, Hari Krishna, M,51,75,87,79,92,89
1612, Sunita rani kumari, F,87,69,51,82,54,70
1613, Siva Kumar, M,94,98,66,76,71,69
1614, Subhash.K.U, M,77,89,63,55,92,63
1615, lalitha kumari, F,53,56,78,83,59,89
1616, lakshmi gopal, M,51,70,85,77,61,72
1617, S.P.Swaroop, M,74,79,62,82,67,56
1618, Suhasini.M, F,73,68,69,74,74,87
1619, G Chitra Shenai, F,87,66,56,57,87,100
1620, S. Devi, F,84,94,86,76,65,84
1621, Shanaya Gurumurthi S, F,93,58,59,83,67,73
1622, Subhashish Bhattacharjee, M,83,61,77,73,66,82
1623, A.B.C Sita, F,50,62,73,66,53,70
1624, Srinivasan M.  Ramaswamy Venugopal Aiyer, M,90,77,54,100,87,64
1625, Anirudh Mahato, M,82,67,76,54,63,72
1626, gopalkumari k s, F,67,85,58,65,92,86
1627, Neha Jagga, F,97,79,55,84,82,76
1628, Paul George, M,83,73,97,90,91,78
1629, Sridhar, M,50,81,55,100,52,96
1630, M.K Sharma, M,69,88,62,72,89,99
1631, Prabhanjan, M,59,81,78,98,71,96
1632, Annand Mukund Rao, M,65,87,96,84,58,52
1633, Pratap kumar, M,63,82,77,87,92,65
1634, Swapna.S.P, F,52,99,55,77,62,70
1635, Ashok Kumar, M,87,95,58,77,71,56
1636, Navneet Dubey, M,54,88,89,54,57,80
1637, Khasim, M,90,99,62,76,52,94
1638, Neha Mehta, M,82,63,75,57,86,76
1639, D.P. Ravi Kiran, M,68,68,67,50,91,86
1640, Deeksha Jiwani, F,57,75,86,82,56,93
1641, S N Prathap Kumar, M,53,83,56,58,90,87
1642, Krishna Hari, M,50,69,97,57,81,72
1643, vijay kumar t r, M,77,52,51,89,67,69
1644, Anthony Kumar, M,69,80,50,98,69,57
1645, Dean Winchester, M,84,76,80,93,57,69
1646, Priya Ram, F,66,85,50,81,92,92
1647, Bob Joe, M,98,95,79,50,88,69
1648, Manohar Sharma, M,100,55,52,89,73,51
1649, Sachin Sharma, M,75,81,78,72,55,93
1650, Akansha Y, F,67,56,53,59,98,80
1651, Ravi Kiran, M,63,81,51,76,75,99
1652, Anuj Malhotra, M,52,55,76,82,51,69
1653, Ashok Singh, M,76,92,93,64,82,56
1654, Sam Manny, M,59,100,52,61,98,65
1655, vijayakanth T.S.V, M,79,88,71,87,68,79
1656, Neha S. Swaminathan, F,98,54,63,50,67,73
1657, Prathiban, M,53,92,67,69,69,67
1658, Kishan, M,61,65,87,81,90,71
1659, Anu Paul, F,50,86,85,57,99,93
1660, Indranil Sarkar, M,72,78,74,95,53,59
1701, S. Devi, F,93,83,69,51,76,87
1702, Suhasini.M, F,87,92,59,98,93,55
1703, Shanaya Gurumurthi S, F,64,58,70,100,79,53
1704, Gayathri K P, F,75,99,54,55,94,70
1705, Paul George, M,64,100,81,74,80,87
1706, Ravichandra S, M,61,91,67,65,90,59
1707, Kumara Krupa Parvath, M,71,86,53,58,100,78
1708, Prabhanjan, M,71,85,79,90,93,54
1709, Pratap kumar, M,63,80,57,87,56,51
1710, lalitha kumari, F,93,51,92,60,76,93
1711, Swapna.S.P, F,85,94,71,61,98,83
1712, Subhashish Bhattacharjee, M,79,75,63,73,60,67
1713, Akansha Y, F,52,55,62,90,66,80
1714, Neha Mehta, M,95,59,60,63,87,83
1715, Sunil Kumar .K., M,55,85,94,86,95,83
1716, Neha Jagga, F,78,91,67,72,65,58
1717, Anand, M,55,91,59,86,90,63
1718, Khasim, M,93,57,80,99,64,50
1719, G Chitra Shenai, F,98,84,52,65,95,79
1720, Aiswarya Mohan, F,84,67,86,72,78,62
1721, Priya Ram, F,93,65,96,98,69,69
1722, Sunita rani kumari, F,74,93,80,85,83,54
1723, Tushar Gupta, M,57,62,98,93,87,94
1724, Anirudh Mahato, M,54,54,72,59,100,89
1725, Manohar Sharma, M,95,56,90,87,64,99
1726, vijay kumar t r, M,52,52,93,52,74,78
1727, Indranil Sarkar, M,95,69,72,87,75,60
1728, Anu Paul, F,65,67,90,75,53,88
1729, Ravi kishan, M,82,68,93,60,93,62
1730, Srinivasan M.  Ramaswamy Venugopal Aiyer, M,51,51,55,98,69,55
1731, Priyanka Y, F,60,88,78,91,75,96
1732, D.P. Ravi Kiran, M,66,63,65,69,64,71
1733, vijayakanth T.S.V, M,85,99,96,85,65,73
1734, Ravi Kiran, M,98,91,78,90,97,93
1735, Pallavi Singh, F,51,87,81,55,73,73
1736, Sachin Sharma, M,90,76,50,70,83,73
1737, Hari Krishnan, M,86,86,53,99,89,75
1738, Ankit Saxena, F,64,60,90,99,62,93
1739, Siva Kumar, M,88,78,54,52,67,56
1740, Aby Abraham K, M,86,84,56,83,83,64
1741, Rakesh Kashyap, M,94,99,72,87,56,51
1742, S N Prathap Kumar, M,79,98,92,52,88,70
1743, lakshmi gopal, M,71,93,88,63,80,81
1744, Bob Joe, M,98,64,92,82,64,54
1745, Hari Krishna, M,58,96,87,95,52,99
1746, Anthony Kumar, M,51,93,52,80,87,69
1747, Krishna Hari, M,86,79,54,100,86,61
1748, M.K Sharma, M,52,61,85,84,93,68
1749, Bernadtette Rostenkowski, F,68,79,54,57,56,98
1750, Ashok Kumar, M,88,62,72,96,69,80
1751, Subhash.K.U, M,77,85,88,85,66,87
1752, Navneet Dubey, M,77,65,81,92,74,86
1753, Dean Winchester, M,62,86,67,64,54,79
1754, Deeksha Jiwani, F,86,100,58,71,97,73
1755, kumar, M,84,64,54,81,73,99
1756, Kishan, M,76,56,72,77,83,92
1757, A.B.C Sita, F,70,57,67,63,67,85
1758, Sam Manny, M,90,75,72,76,68,50
1759, Annand Mukund Rao, M,64,79,81,81,77,90
1760, Anuj Malhotra, M,59,61,53,57,95,69
1801, G Chitra Shenai, F,90,51,71,96,59,92
1802, Ashok Singh, M,99,72,63,92,64,64
1803, gopalkumari k s, F,76,96,93,50,57,100
1804, Annand Mukund Rao, M,87,54,80,64,67,79
1805, Dean Winchester, M,81,63,52,61,80,89
1806, Aby Abraham K, M,67,75,98,74,74,65
1807, Pallavi Singh, F,60,96,99,73,88,76
1808, Sunil Kumar .K., M,87,51,79,66,68,86
1809, Paul George, M,55,87,84,50,79,71
1810, Anthony Kumar, M,68,69,96,98,99,80
1811, Rakesh Kashyap, M,66,78,93,93,57,85
1812, Ravichandra S, M,95,90,86,78,85,86
1813, Sunita rani kumari, F,84,58,61,59,83,55
1814, Sam Manny, M,51,50,58,75,93,81
1815, Krishna Hari, M,66,69,64,71,67,96
1816, Navneet Dubey, M,75,69,100,60,88,93
1817, Indranil Sarkar, M,73,90,69,91,50,62
1818, Subhashish Bhattacharjee, M,82,51,67,53,67,95
1819, Swapna.S.P, F,60,99,88,54,51,78
1820, Ashok Kumar, M,96,65,96,91,61,64
1821, Aiswarya Mohan, F,99,61,77,84,69,88
1822, Anu Paul, F,68,93,67,75,90,54
1823, Ravi kishan, M,60,78,93,72,84,76
1824, S N Prathap Kumar, M,82,97,67,79,86,90
1825, kumar, M,87,56,98,64,100,71
1826, Shanaya Gurumurthi S, F,86,73,60,51,72,50
1827, Prathiban, M,96,89,65,91,56,73
1828, Neha Mehta, M,100,92,82,92,87,71
1829, F A Khan, M,91,76,96,88,54,98
1830, Deeksha Jiwani, F,53,97,52,70,60,79
1831, Srinivasan M.  Ramaswamy Venugopal Aiyer, M,84,61,77,73,98,53
1832, Subhash.K.U, M,75,50,72,75,67,100
1833, Anand, M,79,88,51,77,70,81
1834, Bob Joe, M,50,76,66,65,55,74
1835, Ankit Saxena, F,52,62,57,79,84,81
1836, vijayakanth T.S.V, M,94,82,86,63,63,62
1837, Sridhar, M,72,56,71,86,50,66
1838, Kishan, M,54,75,86,59,64,99
1839, Pratap kumar, M,55,89,53,98,70,60
1840, Sachin Sharma, M,64,75,71,67,86,100
1841, lalitha kumari, F,93,63,75,53,64,87
1842, S.P.Swaroop, M,68,84,57,96,73,99
1843, Anuj Malhotra, M,55,59,96,84,73,61
1844, Hari Krishnan, M,61,58,53,75,84,89
1845, A.B.C Sita, F,91,82,70,96,50,90
1846, lakshmi gopal, M,61,75,51,91,55,87
1847, Anirudh Mahato, M,70,71,71,84,66,75
1848, Kumara Krupa Parvath, M,72,61,73,80,63,100
1849, S. Devi, F,99,79,73,91,77,67
1850, Priya Ram, F,81,89,82,83,80,73
1851, Khasim, M,67,64,60,59,99,99
1852, Priyanka Y, F,93,83,68,63,77,76
1853, Gayathri K P, F,82,96,67,63,85,58
1854, Neha Jagga, F,53,98,69,54,72,65
1855, Ravi Kiran, M,91,70,81,74,66,92
1856, D.P. Ravi Kiran, M,71,86,66,64,93,94
1857, Akansha Y, F,80,51,97,76,83,100
1858, Prabhanjan, M,99,99,61,72,88,73
1859, vijay kumar t r, M,83,55,90,86,53,53
1860, Tushar Gupta, M,71,76,81,85,93,69
2101, Sunil Kumar .K., M,64,79,66,83,96,72
2102, Annand Mukund Rao, M,59,71,66,50,66,77
2103, Dean Winchester, M,50,60,67,96,59,57
2104, F A Khan, M,79,64,72,71,92,53
2105, Pratap kumar, M,59,81,99,97,59,97
2106, Ravi kishan, M,83,98,87,76,100,80
2107, Prabhanjan, M,59,74,82,52,59,86
2108, Ravichandra S, M,73,79,50,63,95,91
2109, Sridhar, M,88,69,54,53,59,78
2110, Shanaya Gurumurthi S, F,60,84,51,92,59,97
2111, Gayathri K P, F,85,70,60,86,56,65
2112, Bernadtette Rostenkowski, F,85,71,68,50,62,51
2113, Suhasini.M, F,73,69,68,98,63,86
2114, Indranil Sarkar, M,90,64,94,52,74,78
2115, vijay kumar t r, M,70,71,100,89,91,81
2116, Anu Paul, F,84,67,78,98,58,90
2117, Khasim, M,73,59,95,93,70,84
2118, Akansha Y, F,56,95,82,95,70,70
2119, Prathiban, M,85,58,84,66,93,61
2120, Anuj Malhotra, M,66,73,85,80,81,84
2121, Ashok Kumar, M,76,68,65,67,90,85
2122, Tushar Gupta, M,50,98,64,63,70,74
2123, D.P. Ravi Kiran, M,68,85,68,59,65,76
2124, Aby Abraham K, M,66,54,95,58,60,73
2125, vijayakanth T.S.V, M,94,91,67,72,51,61
2126, Srinivasan M.  Ramaswamy Venugopal Aiyer, M,59,60,94,97,90,66
2127, gopalkumari k s, F,91,98,94,63,94,67
2128, Swapna.S.P, F,75,95,99,68,61,80
2129, Siva Kumar, M,88,50,57,96,81,78
2130, Kumara Krupa Parvath, M,81,81,88,83,93,65
2131, lalitha kumari, F,90,85,83,52,94,52
2132, Sunita rani kumari, F,89,77,70,99,66,87
2133, Priyanka Y, F,99,76,86,52,79,93
2134, Anand, M,66,64,97,95,73,74
2135, Kishan, M,67,86,79,75,80,86
2136, Paul George, M,80,73,54,60,63,87
2137, Sachin Sharma, M,72,58,92,82,53,67
2138, Subhash.K.U, M,99,73,98,96,85,69
2139, Deeksha Jiwani, F,96,81,56,66,83,72
2140, G Chitra Shenai, F,61,71,94,83,73,62
2141, Ashok Singh, M,65,78,90,62,63,86
2142, S.P.Swaroop, M,77,56,73,59,95,59
2143, kumar, M,97,63,78,77,90,99
2144, Anirudh Mahato, M,71,76,90,79,86,100
2145, Neha Jagga, F,64,79,92,66,65,70
2146, Hari Krishna, M,86,81,61,60,59,94
2147, Rakesh Kashyap, M,63,61,98,98,85,96
2148, Manohar Sharma, M,88,89,68,90,84,68
2149, Pallavi Singh, F,61,82,87,98,76,73
2150, Neha Mehta, M,63,94,56,63,72,92
2151, Aiswarya Mohan, F,65,81,82,100,61,58
2152, Ankit Saxena, F,50,73,62,70,64,56
2153, Subhashish Bhattacharjee, M,54,87,88,95,52,88
